ProblemType:	SP-CARP
NumberNodes:	788
NumberEdges:	1096
DepotNodeNumber:	0
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	7	2.3	3.5	7	14	21	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4	Demand_5	Bins_5	Demand_6	Bins_6
START
0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	2	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	6	3	4	97	0	0	3869	28	0	0	0	0	0	0	0	0	0	0
3	7	5	6	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	11	7	8	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	12	9	10	204	0	0	0	0	1020	2	0	0	0	0	2040	5	0	0
6	13	9	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	14	11	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	16	12	13	181	3873	19	3984	21	0	0	0	0	0	0	5032	14	0	0
9	20	14	15	122	3497	9	4173	12	0	0	0	0	0	0	5168	12	0	0
10	21	16	17	33	0	0	0	0	0	0	0	0	0	0	1428	7	0	0
11	25	18	19	55	0	0	4235	20	0	0	0	0	0	0	4590	10	0	0
12	26	20	18	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	27	21	22	174	0	0	2040	4	0	0	0	0	1870	1	1870	4	0	0
14	28	23	21	99	4148	15	3693	9	0	0	680	2	0	0	0	0	0	0
15	29	21	24	35	510	1	0	0	0	0	0	0	1870	1	0	0	0	0
16	30	25	26	119	0	0	0	0	2210	5	0	0	0	0	3672	10	0	0
17	31	27	25	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	32	25	28	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	33	6	29	39	0	0	1020	2	3822	27	0	0	0	0	0	0	0	0
20	36	29	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	38	30	31	215	0	0	0	0	3179	7	0	0	0	0	2652	13	0	0
22	39	31	32	484	0	0	0	0	2669	9	0	0	0	0	2448	12	232	2
23	41	33	34	3	0	0	0	0	0	0	1700	1	0	0	0	0	0	0
24	42	34	35	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	48	36	37	79	0	0	1020	2	408	2	0	0	0	0	748	3	408	2
