ProblemType:	SP-CARP
NumberNodes:	26
NumberEdges:	33
DepotNodeNumber:	8
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	5	3.5	7	14	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4
START
0	133	0	1	22	0	0	0	0	0	0	0	0	0	0
1	222	2	3	238	4080	8	3978	15	1870	1	4148	16	1388	11
2	408	4	5	45	0	0	0	0	0	0	0	0	0	0
3	414	5	6	77	3777	11	0	0	0	0	1530	3	0	0
4	418	7	8	81	3697	26	0	0	0	0	3060	6	0	0
5	419	7	6	18	0	0	0	0	0	0	0	0	0	0
6	420	9	3	94	0	0	765	5	0	0	408	2	0	0
7	421	10	11	12	0	0	0	0	0	0	0	0	0	0
8	423	8	11	89	0	0	0	0	0	0	0	0	0	0
9	424	10	9	94	0	0	0	0	0	0	0	0	0	0
10	464	12	13	142	0	0	1173	7	0	0	1428	7	592	5
11	797	11	12	86	4031	18	510	1	1870	4	850	2	0	0
12	800	12	14	104	0	0	1989	13	0	0	1836	9	952	8
13	814	9	13	88	3927	14	0	0	0	0	2482	7	0	0
14	842	10	2	79	3060	6	1683	4	0	0	1462	5	0	0
15	847	15	16	15	0	0	0	0	0	0	0	0	0	0
16	848	17	15	64	0	0	0	0	0	0	0	0	0	0
17	851	7	17	197	1700	4	3604	5	0	0	1292	5	0	0
18	858	8	18	78	0	0	306	2	0	0	408	2	352	3
19	859	16	0	8	0	0	306	2	0	0	408	2	232	2
20	860	1	15	14	0	0	0	0	0	0	0	0	0	0
21	861	18	1	140	4182	15	833	3	0	0	2312	7	116	1
22	878	8	19	85	0	0	1870	1	0	0	0	0	0	0
23	887	20	21	87	0	0	1207	4	0	0	612	3	640	4
24	888	22	5	85	0	0	0	0	0	0	0	0	0	0
25	889	4	23	85	0	0	1020	2	0	0	0	0	0	0
26	891	24	19	72	3825	8	238	2	0	0	2788	7	472	4
27	892	24	7	85	0	0	0	0	0	0	0	0	0	0
28	893	6	25	85	0	0	0	0	0	0	0	0	0	0
29	894	23	22	44	0	0	578	2	0	0	612	3	464	4
30	897	22	20	74	0	0	510	3	0	0	612	3	232	2
31	898	24	25	18	0	0	0	0	0	0	0	0	0	0
32	899	25	20	3	0	0	0	0	0	0	0	0	0	0
END
