ProblemType:	SP-CARP
NumberNodes:	415
NumberEdges:	565
DepotNodeNumber:	206
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	7	2.3	3.5	7	14	21	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4	Demand_5	Bins_5	Demand_6	Bins_6
START
0	0	0	1	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	2	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	6	3	4	97	0	0	3869	28	0	0	0	0	0	0	0	0	0	0
3	7	5	6	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	11	7	8	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	12	9	10	204	0	0	0	0	1020	2	0	0	0	0	2040	5	0	0
6	13	9	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	14	11	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	25	12	13	55	0	0	4235	20	0	0	0	0	0	0	4590	10	0	0
9	26	14	12	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	27	15	16	174	0	0	2040	4	0	0	0	0	1870	1	1870	4	0	0
11	28	17	15	99	4148	15	3693	9	0	0	680	2	0	0	0	0	0	0
12	29	15	18	35	510	1	0	0	0	0	0	0	1870	1	0	0	0	0
13	30	19	20	119	0	0	0	0	2210	5	0	0	0	0	3672	10	0	0
14	31	21	19	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	32	19	22	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	33	6	23	39	0	0	1020	2	3822	27	0	0	0	0	0	0	0	0
17	36	23	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	38	24	25	215	0	0	0	0	4675	16	0	0	0	0	4488	22	712	6
19	39	25	26	484	0	0	0	0	6639	47	0	0	0	0	7304	50	3660	28
20	41	27	28	3	0	0	0	0	0	0	1700	1	0	0	0	0	0	0
21	42	28	29	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	49	30	31	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	50	31	32	17	0	0	2550	5	0	0	0	0	0	0	0	0	0	0
24	54	33	34	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	59	35	36	107	0	0	0	0	3654	9	0	0	0	0	1224	4	0	0
26	60	34	37	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	62	37	38	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	63	39	40	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	68	38	41	84	0	0	4046	16	0	0	0	0	0	0	1258	4	0	0
30	71	42	43	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
