ProblemType:	SP-CARP
NumberNodes:	198
NumberEdges:	265
DepotNodeNumber:	29
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	7	2.3	3.5	7	14	21	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4	Demand_5	Bins_5	Demand_6	Bins_6
START
0	48	0	1	79	0	0	1020	2	408	2	0	0	0	0	748	3	408	2
1	63	2	3	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	67	4	5	226	0	0	0	0	1632	8	0	0	0	0	544	2	0	0
3	71	6	2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	73	7	6	22	0	0	2125	5	0	0	0	0	0	0	1190	3	0	0
5	75	3	4	213	0	0	0	0	4151	12	0	0	0	0	2312	8	0	0
6	81	8	9	58	0	0	0	0	3060	6	0	0	0	0	0	0	0	0
7	82	10	11	55	2040	4	4080	8	0	0	0	0	0	0	1530	4	0	0
8	83	12	11	62	3889	10	0	0	0	0	0	0	0	0	2754	7	0	0
9	84	13	14	19	3584	50	0	0	0	0	2550	5	0	0	5434	14	0	0
10	85	11	13	57	0	0	680	2	0	0	0	0	0	0	0	0	0	0
11	86	15	9	56	0	0	0	0	0	0	3825	5	0	0	0	0	0	0
12	87	14	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	89	16	8	194	0	0	0	0	1020	2	0	0	0	0	544	2	0	0
14	91	17	18	121	0	0	0	0	2244	9	0	0	0	0	1428	7	1604	10
15	92	19	20	47	0	0	0	0	3230	7	0	0	0	0	1360	6	0	0
16	93	21	22	98	0	0	2550	5	2040	4	0	0	0	0	1530	4	0	0
17	105	21	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	106	24	25	104	3836	26	0	0	0	0	1700	1	0	0	2040	4	0	0
19	107	25	21	56	2040	4	0	0	0	0	0	0	0	0	544	2	0	0
20	108	26	25	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	109	27	28	108	0	0	3264	7	0	0	0	0	0	0	2550	5	0	0
22	110	29	27	145	0	0	0	0	204	1	0	0	0	0	3230	7	0	0
23	111	30	31	71	0	0	0	0	3060	15	0	0	0	0	1258	4	232	2
24	112	30	32	98	0	0	0	0	2159	8	0	0	0	0	1224	6	436	3
25	113	32	33	88	0	0	1020	2	2193	12	0	0	0	0	1768	8	468	4
26	114	34	30	67	2890	6	2040	4	2720	3	510	1	0	0	1734	5	0	0
27	115	35	33	257	0	0	0	0	7412	36	0	0	0	0	4488	22	2932	19
28	117	36	37	96	0	0	4131	15	2040	4	0	0	0	0	2720	10	0	0
29	121	39	38	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	122	40	39	93	1530	3	850	2	0	0	0	0	0	0	1564	4	0	0
31	140	41	42	56	0	0	4117	18	0	0	0	0	0	0	2584	12	0	0
32	143	43	44	133	0	0	4147	12	4199	9	0	0	0	0	2210	8	0	0
33	152	45	41	20	0	0	1428	7	0	0	0	0	0	0	0	0	0	0
34	158	46	43	143	0	0	3418	10	4161	11	0	0	0	0	4080	16	0	0
35	159	46	42	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	173	47	48	83	0	0	510	1	0	0	0	0	0	0	544	2	0	0
37	175	1	49	118	0	0	510	1	510	1	0	0	0	0	204	1	0	0
38	176	49	17	71	0	0	0	0	340	1	0	0	0	0	204	1	320	2
39	177	48	50	57	1428	7	0	0	0	0	0	0	0	0	408	2	0	0
40	178	51	47	204	0	0	3448	9	2040	4	340	1	0	0	1700	7	0	0
41	179	17	51	139	0	0	1020	2	2040	4	1700	1	0	0	1496	6	0	0
42	188	54	55	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	189	56	52	77	0	0	0	0	4065	24	0	0	0	0	2210	8	0	0
44	190	57	58	125	0	0	0	0	3755	12	0	0	0	0	1870	4	0	0
45	191	57	54	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	192	52	54	60	0	0	0	0	3418	22	0	0	0	0	1020	2	0	0
47	193	58	59	70	1020	2	2040	4	1020	2	0	0	0	0	1020	2	0	0
48	207	46	60	60	0	0	3485	7	1530	6	0	0	0	0	3026	10	0	0
49	208	60	61	90	0	0	1020	2	0	0	0	0	0	0	1360	6	0	0
