ProblemType:	SP-CARP
NumberNodes:	399
NumberEdges:	549
DepotNodeNumber:	50
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	7	2.3	3.5	7	14	21	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4	Demand_5	Bins_5	Demand_6	Bins_6
START
0	16	0	1	181	3873	19	3984	21	0	0	0	0	0	0	5032	14	0	0
1	48	2	3	79	0	0	1020	2	408	2	0	0	0	0	748	3	408	2
2	53	4	5	98	3933	13	0	0	5100	12	1870	1	0	0	850	2	0	0
3	54	6	7	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	58	8	5	119	0	0	3666	9	119	1	1870	1	0	0	680	2	0	0
5	59	9	10	107	0	0	0	0	3654	9	0	0	0	0	1224	4	0	0
6	60	7	11	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	62	11	12	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	63	13	14	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	65	15	16	140	0	0	4123	17	4015	13	0	0	0	0	5338	18	0	0
10	66	17	8	90	1020	2	0	0	1020	2	510	1	0	0	510	1	0	0
11	67	18	19	226	0	0	0	0	1632	8	0	0	0	0	544	2	0	0
12	68	12	20	84	0	0	4046	16	0	0	0	0	0	0	1258	4	0	0
13	69	16	21	153	612	4	2975	7	3703	10	0	0	0	0	3722	14	0	0
14	70	5	15	111	0	0	3868	16	0	0	0	0	0	0	2550	6	0	0
15	71	22	23	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	72	23	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	73	20	22	22	0	0	2125	5	0	0	0	0	0	0	1190	3	0	0
18	74	19	17	111	0	0	3635	12	3435	15	0	0	0	0	4148	15	0	0
19	75	14	18	213	0	0	0	0	4151	12	0	0	0	0	2312	8	0	0
20	76	10	6	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	81	24	25	58	0	0	0	0	3060	6	0	0	0	0	0	0	0	0
22	82	26	27	55	2040	4	4080	8	0	0	0	0	0	0	1530	4	0	0
23	83	28	27	62	3889	10	0	0	0	0	0	0	0	0	2754	7	0	0
24	84	29	30	19	3584	50	0	0	0	0	2550	5	0	0	5434	14	0	0
25	85	27	29	57	0	0	680	2	0	0	0	0	0	0	0	0	0	0
26	86	31	25	56	0	0	0	0	0	0	3825	5	0	0	0	0	0	0
27	87	30	31	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	89	32	24	194	0	0	0	0	1020	2	0	0	0	0	544	2	0	0
29	91	33	34	121	0	0	0	0	2244	9	0	0	0	0	1428	7	1604	10
30	92	35	36	47	0	0	0	0	3230	7	0	0	0	0	1360	6	0	0
31	93	37	38	98	0	0	2550	5	2040	4	0	0	0	0	1530	4	0	0
32	100	39	40	244	0	0	4051	13	3770	25	0	0	0	0	6698	26	0	0
33	101	41	39	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	102	42	43	51	0	0	0	0	935	2	0	0	0	0	0	0	0	0
35	105	37	44	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	106	45	46	104	3836	26	0	0	0	0	1700	1	0	0	2040	4	0	0
37	107	46	37	56	2040	4	0	0	0	0	0	0	0	0	544	2	0	0
38	108	47	46	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	109	48	49	108	0	0	3264	7	0	0	0	0	0	0	2550	5	0	0
40	110	50	48	145	0	0	0	0	204	1	0	0	0	0	3230	7	0	0
41	111	51	52	71	0	0	0	0	3060	15	0	0	0	0	1258	4	232	2
42	112	51	53	98	0	0	0	0	2159	8	0	0	0	0	1224	6	436	3
43	113	53	54	88	0	0	1020	2	2193	12	0	0	0	0	1768	8	468	4
44	114	55	51	67	2890	6	2040	4	2720	3	510	1	0	0	1734	5	0	0
45	115	56	54	257	0	0	0	0	7412	36	0	0	0	0	4488	22	2932	19
46	116	57	58	97	1530	3	1700	4	0	0	0	0	0	0	850	2	0	0
47	117	59	57	96	0	0	4131	15	2040	4	0	0	0	0	2720	10	0	0
48	121	61	60	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	122	62	61	93	1530	3	850	2	0	0	0	0	0	0	1564	4	0	0
50	124	63	64	107	4006	10	0	0	0	0	0	0	0	0	3468	11	0	0
51	126	65	66	91	0	0	1020	2	153	1	0	0	0	0	748	3	232	2
52	128	65	67	74	0	0	0	0	918	5	0	0	0	0	816	4	116	1
53	129	67	68	85	0	0	0	0	357	2	0	0	0	0	408	2	472	4
54	130	69	70	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	131	71	69	72	0	0	0	0	0	0	0	0	0	0	3570	7	0	0
56	140	72	73	56	0	0	4117	18	0	0	0	0	0	0	2584	12	0	0
57	142	40	74	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	143	75	76	133	0	0	4147	12	4199	9	0	0	0	0	2210	8	0	0
59	148	77	78	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	149	79	80	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	150	80	81	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	152	82	72	20	0	0	1428	7	0	0	0	0	0	0	0	0	0	0
63	153	74	83	92	0	0	2550	6	2040	4	0	0	0	0	1768	6	0	0
64	154	78	84	88	0	0	2040	4	918	3	0	0	0	0	1088	4	0	0
65	156	77	85	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	157	83	82	81	0	0	1020	2	0	0	0	0	0	0	408	2	0	0
67	158	86	75	143	0	0	3418	10	4161	11	0	0	0	0	4080	16	0	0
68	159	86	73	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	161	79	85	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	162	84	40	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	164	87	88	91	0	0	0	0	1530	3	0	0	0	0	544	2	0	0
72	165	89	90	121	0	0	2550	5	0	0	0	0	0	0	544	2	0	0
73	166	90	87	94	0	0	0	0	1020	2	0	0	0	0	544	2	0	0
74	167	91	89	104	0	0	0	0	4080	8	0	0	0	0	1088	4	0	0
75	170	88	92	101	0	0	2125	5	2040	4	0	0	0	0	1632	6	0	0
76	172	93	92	144	0	0	1530	3	0	0	0	0	0	0	1428	4	0	0
77	173	94	95	83	0	0	510	1	0	0	0	0	0	0	544	2	0	0
78	174	74	2	154	0	0	3570	7	2907	10	0	0	0	0	2244	9	464	4
79	175	3	96	118	0	0	510	1	510	1	0	0	0	0	204	1	0	0
80	176	96	33	71	0	0	0	0	340	1	0	0	0	0	204	1	320	2
81	177	95	93	57	1428	7	0	0	0	0	0	0	0	0	408	2	0	0
82	178	97	94	204	0	0	3448	9	2040	4	340	1	0	0	1700	7	0	0
83	179	33	97	139	0	0	1020	2	2040	4	1700	1	0	0	1496	6	0	0
84	180	98	92	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	188	101	102	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	189	103	99	77	0	0	0	0	4065	24	0	0	0	0	2210	8	0	0
