ProblemType:	SP-CARP
NumberNodes:	342
NumberEdges:	388
DepotNodeNumber:	64
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	2	7	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1
START
0	191	0	1	126	587	6	119	1
1	192	0	2	118	238	2	94	1
2	193	2	3	254	1088	9	0	0
3	194	4	5	70	94	1	0	0
4	195	6	7	119	0	0	204	1
5	196	8	9	54	374	4	94	1
6	197	10	11	45	204	1	204	1
7	199	12	5	46	0	0	204	1
8	200	11	13	76	0	0	0	0
9	201	14	15	53	0	0	0	0
10	202	7	16	12	0	0	0	0
11	203	17	18	61	0	0	187	2
12	204	17	19	226	1369	10	213	2
13	205	20	8	217	400	4	119	1
14	206	15	21	61	0	0	0	0
15	207	8	11	172	579	5	0	0
16	208	18	7	81	94	1	0	0
17	209	20	14	147	188	2	0	0
18	210	21	12	264	0	0	0	0
19	211	5	22	584	0	0	0	0
20	212	13	17	145	0	0	0	0
21	251	23	24	186	612	3	94	1
22	252	25	26	64	0	0	94	1
23	253	26	23	241	1394	12	94	1
24	254	23	25	157	1505	9	332	3
25	255	27	26	83	502	3	0	0
26	272	28	29	106	375	4	213	2
27	273	29	30	82	94	1	298	2
28	274	30	28	182	187	2	408	2
29	275	30	31	65	119	1	502	3
30	276	32	28	69	0	0	119	1
31	340	33	34	208	204	1	94	1
32	341	34	35	70	94	1	0	0
33	345	35	36	129	204	1	0	0
34	348	36	37	78	204	1	0	0
35	350	37	2	70	188	2	0	0
36	353	38	37	63	621	4	0	0
37	383	39	40	4	0	0	0	0
38	384	41	40	130	94	1	119	1
39	385	42	43	111	935	5	0	0
40	386	44	45	75	213	2	0	0
41	387	44	42	23	0	0	0	0
42	389	45	39	129	0	0	204	1
43	391	46	47	43	0	0	204	1
44	392	22	47	107	0	0	204	1
45	393	48	49	50	94	1	119	1
46	394	50	51	140	0	0	0	0
47	395	52	51	78	213	2	0	0
48	396	22	48	351	0	0	94	1
49	397	49	52	42	0	0	0	0
50	398	47	53	62	0	0	94	1
51	676	54	55	55	306	3	0	0
52	677	55	16	168	119	1	94	1
