ProblemType:	SP-CARP
NumberNodes:	82
NumberEdges:	106
DepotNodeNumber:	17
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	7	2.3	3.5	7	14	21	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4	Demand_5	Bins_5	Demand_6	Bins_6
START
0	81	0	1	58	0	0	0	0	3060	6	0	0	0	0	0	0	0	0
1	82	2	3	55	2040	4	4080	8	0	0	0	0	0	0	1530	4	0	0
2	83	4	3	62	3889	10	0	0	0	0	0	0	0	0	2754	7	0	0
3	84	5	6	19	3584	50	0	0	0	0	2550	5	0	0	5434	14	0	0
4	85	3	5	57	0	0	680	2	0	0	0	0	0	0	0	0	0	0
5	86	7	1	56	0	0	0	0	0	0	3825	5	0	0	0	0	0	0
6	87	6	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	89	8	0	194	0	0	0	0	1020	2	0	0	0	0	544	2	0	0
8	93	9	10	98	0	0	2550	5	2040	4	0	0	0	0	1530	4	0	0
9	105	9	11	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	106	12	13	104	3836	26	0	0	0	0	1700	1	0	0	2040	4	0	0
11	107	13	9	56	2040	4	0	0	0	0	0	0	0	0	544	2	0	0
12	108	14	13	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	109	15	16	108	0	0	3264	7	0	0	0	0	0	0	2550	5	0	0
14	110	17	15	145	0	0	0	0	204	1	0	0	0	0	3230	7	0	0
15	111	18	19	71	0	0	0	0	3060	15	0	0	0	0	1258	4	232	2
16	112	18	20	98	0	0	0	0	2159	8	0	0	0	0	1224	6	436	3
17	113	20	21	88	0	0	1020	2	2193	12	0	0	0	0	1768	8	468	4
18	114	22	18	67	2890	6	2040	4	2720	3	510	1	0	0	1734	5	0	0
19	121	23	24	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	122	25	23	93	1530	3	850	2	0	0	0	0	0	0	1564	4	0	0
21	254	26	27	117	2244	5	0	0	0	0	0	0	0	0	1258	4	0	0
22	269	28	29	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	270	30	31	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	271	32	33	35	0	0	2856	7	680	2	0	0	0	0	2108	9	0	0
25	274	2	17	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	275	34	35	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	276	36	37	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	277	22	31	44	0	0	1360	3	0	0	408	2	0	0	408	2	0	0
29	279	38	28	39	0	0	1020	2	0	0	0	0	0	0	680	2	0	0
30	280	39	37	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	281	29	32	29	0	0	866	9	0	0	0	0	0	0	408	2	0	0
